,mean_fit_time,mean_score_time,mean_test_score,mean_train_score,param_hog_extractor__color_space,param_hog_extractor__hist_feat,param_hog_extractor__hog_channel,param_hog_extractor__spatial_feat,params,rank_test_score,split0_test_score,split0_train_score,std_fit_time,std_score_time,std_test_score,std_train_score
42,21.35716986656189,6.871170997619629,0.9778936392075078,1.0,HLS,True,1,False,"{'hog_extractor__spatial_feat': False, 'hog_extractor__hist_feat': True, 'hog_extractor__hog_channel': 1, 'hog_extractor__color_space': 'HLS'}",24,0.9778936392075078,1.0,0.0,0.0,0.0,0.0
72,21.79555082321167,7.072649002075195,0.9774765380604796,1.0,YCrCb,True,0,False,"{'hog_extractor__spatial_feat': False, 'hog_extractor__hist_feat': True, 'hog_extractor__hog_channel': 0, 'hog_extractor__color_space': 'YCrCb'}",25,0.9774765380604796,1.0,0.0,0.0,0.0,0.0
59,31.47374701499939,7.098459005355835,0.9770594369134515,1.0,YUV,True,1,True,"{'hog_extractor__spatial_feat': True, 'hog_extractor__hist_feat': True, 'hog_extractor__hog_channel': 1, 'hog_extractor__color_space': 'YUV'}",26,0.9770594369134515,1.0,0.0,0.0,0.0,0.0
9,29.63410711288452,6.881524085998535,0.9768508863399374,1.0,RGB,True,0,True,"{'hog_extractor__spatial_feat': True, 'hog_extractor__hist_feat': True, 'hog_extractor__hog_channel': 0, 'hog_extractor__color_space': 'RGB'}",27,0.9768508863399374,1.0,0.0,0.0,0.0,0.0
17,24.942721843719482,5.088623046875,0.9764337851929092,1.0,LUV,False,0,True,"{'hog_extractor__spatial_feat': True, 'hog_extractor__hist_feat': False, 'hog_extractor__hog_channel': 0, 'hog_extractor__color_space': 'LUV'}",28,0.9764337851929092,1.0,0.0,0.0,0.0,0.0
49,25.8053081035614,4.952025890350342,0.9764337851929092,1.0,YUV,False,0,True,"{'hog_extractor__spatial_feat': True, 'hog_extractor__hist_feat': False, 'hog_extractor__hog_channel': 0, 'hog_extractor__color_space': 'YUV'}",28,0.9764337851929092,1.0,0.0,0.0,0.0,0.0
27,33.418638944625854,9.94478702545166,0.9764337851929092,1.0,LUV,True,1,True,"{'hog_extractor__spatial_feat': True, 'hog_extractor__hist_feat': True, 'hog_extractor__hog_channel': 1, 'hog_extractor__color_space': 'LUV'}",28,0.9764337851929092,1.0,0.0,0.0,0.0,0.0
14,51.472068071365356,15.10362696647644,0.9760166840458812,1.0,RGB,True,ALL,False,"{'hog_extractor__spatial_feat': False, 'hog_extractor__hist_feat': True, 'hog_extractor__hog_channel': 'ALL', 'hog_extractor__color_space': 'RGB'}",31,0.9760166840458812,1.0,0.0,0.0,0.0,0.0
5,25.70008897781372,4.401811122894287,0.9760166840458812,1.0,RGB,False,2,True,"{'hog_extractor__spatial_feat': True, 'hog_extractor__hist_feat': False, 'hog_extractor__hog_channel': 2, 'hog_extractor__color_space': 'RGB'}",31,0.9760166840458812,1.0,0.0,0.0,0.0,0.0
24,22.023964166641235,6.992440938949585,0.9747653806047967,1.0,LUV,True,0,False,"{'hog_extractor__spatial_feat': False, 'hog_extractor__hist_feat': True, 'hog_extractor__hog_channel': 0, 'hog_extractor__color_space': 'LUV'}",33,0.9747653806047967,1.0,0.0,0.0,0.0,0.0
3,25.665005922317505,5.929090976715088,0.9737226277372263,1.0,RGB,False,1,True,"{'hog_extractor__spatial_feat': True, 'hog_extractor__hist_feat': False, 'hog_extractor__hog_channel': 1, 'hog_extractor__color_space': 'RGB'}",34,0.9737226277372263,1.0,0.0,0.0,0.0,0.0
7,58.90607690811157,13.840043067932129,0.9730969760166841,1.0,RGB,False,ALL,True,"{'hog_extractor__spatial_feat': True, 'hog_extractor__hist_feat': False, 'hog_extractor__hog_channel': 'ALL', 'hog_extractor__color_space': 'RGB'}",35,0.9730969760166841,1.0,0.0,0.0,0.0,0.0
56,19.711093187332153,6.6094019412994385,0.97288842544317,1.0,YUV,True,0,False,"{'hog_extractor__spatial_feat': False, 'hog_extractor__hist_feat': True, 'hog_extractor__hog_channel': 0, 'hog_extractor__color_space': 'YUV'}",36,0.97288842544317,1.0,0.0,0.0,0.0,0.0
65,24.765884160995483,4.6766040325164795,0.9726798748696559,1.0,YCrCb,False,0,True,"{'hog_extractor__spatial_feat': True, 'hog_extractor__hist_feat': False, 'hog_extractor__hog_channel': 0, 'hog_extractor__color_space': 'YCrCb'}",37,0.9726798748696559,1.0,0.0,0.0,0.0,0.0
75,31.17725706100464,7.054455995559692,0.9726798748696559,1.0,YCrCb,True,1,True,"{'hog_extractor__spatial_feat': True, 'hog_extractor__hist_feat': True, 'hog_extractor__hog_channel': 1, 'hog_extractor__color_space': 'YCrCb'}",37,0.9726798748696559,1.0,0.0,0.0,0.0,0.0
1,26.338857173919678,4.5730249881744385,0.9708029197080292,1.0,RGB,False,0,True,"{'hog_extractor__spatial_feat': True, 'hog_extractor__hist_feat': False, 'hog_extractor__hog_channel': 0, 'hog_extractor__color_space': 'RGB'}",39,0.9708029197080292,1.0,0.0,0.0,0.0,0.0
61,34.152363777160645,7.464040994644165,0.9708029197080292,1.0,YUV,True,2,True,"{'hog_extractor__spatial_feat': True, 'hog_extractor__hist_feat': True, 'hog_extractor__hog_channel': 2, 'hog_extractor__color_space': 'YUV'}",39,0.9708029197080292,1.0,0.0,0.0,0.0,0.0
41,35.683770179748535,7.329075813293457,0.9708029197080292,1.0,HLS,True,0,True,"{'hog_extractor__spatial_feat': True, 'hog_extractor__hist_feat': True, 'hog_extractor__hog_channel': 0, 'hog_extractor__color_space': 'HLS'}",39,0.9708029197080292,1.0,0.0,0.0,0.0,0.0
35,25.989295959472656,4.889800071716309,0.9697601668404588,1.0,HLS,False,1,True,"{'hog_extractor__spatial_feat': True, 'hog_extractor__hist_feat': False, 'hog_extractor__hog_channel': 1, 'hog_extractor__color_space': 'HLS'}",42,0.9697601668404588,1.0,0.0,0.0,0.0,0.0
45,34.20726203918457,7.980797052383423,0.9678832116788321,1.0,HLS,True,2,True,"{'hog_extractor__spatial_feat': True, 'hog_extractor__hist_feat': True, 'hog_extractor__hog_channel': 2, 'hog_extractor__color_space': 'HLS'}",43,0.9678832116788321,1.0,0.0,0.0,0.0,0.0
29,39.20144319534302,8.44574785232544,0.9666319082377477,1.0,LUV,True,2,True,"{'hog_extractor__spatial_feat': True, 'hog_extractor__hist_feat': True, 'hog_extractor__hog_channel': 2, 'hog_extractor__color_space': 'LUV'}",44,0.9666319082377477,1.0,0.0,0.0,0.0,0.0
77,31.002153158187866,6.911399841308594,0.9666319082377477,1.0,YCrCb,True,2,True,"{'hog_extractor__spatial_feat': True, 'hog_extractor__hist_feat': True, 'hog_extractor__hog_channel': 2, 'hog_extractor__color_space': 'YCrCb'}",44,0.9666319082377477,1.0,0.0,0.0,0.0,0.0
6,49.357460021972656,14.44356894493103,0.9655891553701773,1.0,RGB,False,ALL,False,"{'hog_extractor__spatial_feat': False, 'hog_extractor__hist_feat': False, 'hog_extractor__hog_channel': 'ALL', 'hog_extractor__color_space': 'RGB'}",46,0.9655891553701773,1.0,0.0,0.0,0.0,0.0
19,24.776083946228027,4.951037883758545,0.964963503649635,1.0,LUV,False,1,True,"{'hog_extractor__spatial_feat': True, 'hog_extractor__hist_feat': False, 'hog_extractor__hog_channel': 1, 'hog_extractor__color_space': 'LUV'}",47,0.964963503649635,1.0,0.0,0.0,0.0,0.0
10,20.3213529586792,6.59014892578125,0.9643378519290928,1.0,RGB,True,1,False,"{'hog_extractor__spatial_feat': False, 'hog_extractor__hist_feat': True, 'hog_extractor__hog_channel': 1, 'hog_extractor__color_space': 'RGB'}",48,0.9643378519290928,1.0,0.0,0.0,0.0,0.0
8,21.251960039138794,7.089706182479858,0.9641293013555787,0.9999106185198426,RGB,True,0,False,"{'hog_extractor__spatial_feat': False, 'hog_extractor__hist_feat': True, 'hog_extractor__hog_channel': 0, 'hog_extractor__color_space': 'RGB'}",49,0.9641293013555787,0.9999106185198426,0.0,0.0,0.0,0.0
